idx,Name,mean_price_2Bedroom,min_t_2Bedroom,t_range_2Bedroom,intercept_2Bedroom,price_trend_2Bedroom,intercept_err_2Bedroom,price_trend_err_2Bedroom,rsquared_2Bedroom,std_err_2Bedroom,nobs_2Bedroom
0,Northeast Dallas,1043.871,1611.247,912.498,765.430,0.135,71.899,0.034,0.345,50.513,31.000
1,Paradise,835.145,455.416,2068.329,685.752,0.100,15.277,0.010,0.625,47.107,69.000
2,Maryvale,721.618,1002.915,1520.830,543.891,0.101,16.955,0.009,0.705,29.208,51.000
3,Upper West Side,4491.435,1854.580,669.165,4384.614,0.049,154.947,0.070,0.022,65.165,23.000
4,Sherman Oaks,2023.583,546.666,1977.079,1706.027,0.207,43.159,0.026,0.491,121.925,66.000
5,Upper East Side,3353.664,607.499,1916.246,2793.536,0.358,58.239,0.035,0.627,154.903,64.000
6,Sunrise Manor,657.172,698.749,1824.996,617.359,0.025,8.774,0.005,0.279,21.256,61.000
7,East New York,1502.983,729.166,1794.579,1239.706,0.162,15.330,0.009,0.849,35.972,60.000
8,Paradise Valley,982.383,1641.664,882.081,771.611,0.101,60.036,0.029,0.309,39.840,30.000
9,Deer Valley,825.895,668.332,1855.413,666.401,0.100,16.917,0.010,0.623,42.299,62.000
10,Washington Heights,1849.992,546.666,1977.079,1501.932,0.227,13.825,0.008,0.919,39.055,66.000
11,Van Nuys,1576.625,1459.164,1064.581,731.914,0.424,70.437,0.035,0.813,64.362,36.000
12,Astoria,2295.417,546.666,1977.079,1819.588,0.310,53.641,0.033,0.584,151.535,66.000
13,North Mountain,713.614,425.000,2098.745,670.473,0.029,15.042,0.009,0.124,47.725,70.000
14,Far North,1088.931,789.999,1733.746,718.139,0.224,14.544,0.008,0.927,31.972,58.000
15,Hollywood,2499.754,759.582,1764.163,1923.817,0.351,70.103,0.041,0.566,159.254,59.000
16,Williamsburg,3103.582,881.249,1642.496,2616.729,0.286,60.369,0.034,0.570,119.916,55.000
17,Bedford Stuyvesant,1955.197,546.666,1977.079,1214.679,0.482,23.880,0.015,0.945,67.461,66.000
18,Alhambra,664.394,546.666,1977.079,539.398,0.081,7.263,0.004,0.841,20.519,66.000
19,Flatbush,1785.270,698.749,1824.996,1302.804,0.299,22.197,0.013,0.899,53.776,61.000
20,Crown Heights,2053.069,577.083,1946.662,1383.258,0.432,31.890,0.019,0.888,87.431,65.000
21,Harlem,2130.379,546.666,1977.079,1551.766,0.377,28.348,0.017,0.881,80.084,66.000
22,Roosevelt,659.370,911.665,1612.080,666.439,-0.004,8.358,0.005,0.015,16.035,54.000
23,Williamsbridge,1461.019,911.665,1612.080,1209.642,0.146,23.158,0.013,0.709,44.427,54.000
24,East Harlem,2782.071,2128.329,395.416,1717.841,0.458,350.312,0.150,0.435,63.880,14.000
25,Bushwick,1961.344,698.749,1824.996,1076.727,0.549,30.098,0.018,0.942,72.920,61.000
26,North Scottsdale,1506.536,425.000,2098.745,1370.113,0.093,64.344,0.040,0.072,204.147,70.000
27,East Flatbush,1654.435,1854.580,669.165,1033.635,0.284,90.216,0.041,0.695,37.941,23.000
28,Enterprise,1070.177,577.083,1946.662,955.915,0.074,14.975,0.009,0.512,41.057,65.000
29,East Memphis-Colonial-Yorkshire,670.533,729.166,1794.579,761.915,-0.056,24.499,0.014,0.210,57.488,60.000
30,Corona,1961.682,1550.414,973.331,788.083,0.576,83.481,0.041,0.867,65.426,33.000
31,Sunset Park,1778.541,698.749,1824.996,1378.537,0.248,19.910,0.012,0.884,48.235,61.000
32,Concourse,1541.731,1763.330,760.415,1338.505,0.095,93.148,0.043,0.167,48.292,26.000
33,South Side,1093.150,1945.830,577.915,241.641,0.381,201.545,0.090,0.499,66.903,20.000
34,North Hollywood,1961.759,789.999,1733.746,1040.496,0.556,59.861,0.035,0.822,131.593,58.000
35,Alief,775.039,1002.915,1520.830,696.640,0.044,12.118,0.007,0.476,20.876,51.000
36,Elmhurst,1965.635,972.498,1551.247,1382.653,0.333,47.214,0.026,0.765,84.354,52.000
37,Mid City,2586.500,2006.663,517.082,3289.417,-0.310,360.106,0.159,0.193,100.104,18.000
38,Bensonhurst,1585.583,729.166,1794.579,1273.707,0.192,17.303,0.010,0.861,40.602,60.000
39,Koreatown,2269.479,1824.163,699.582,1216.113,0.485,191.153,0.088,0.582,86.431,24.000
40,Westlake,2294.924,1550.414,973.331,1359.915,0.459,127.580,0.062,0.639,99.987,33.000
41,West San Jose,2559.208,1824.163,699.582,1572.327,0.454,232.240,0.106,0.453,105.008,24.000
42,Lower East Side,3256.598,546.666,1977.079,2931.449,0.212,34.152,0.021,0.618,96.478,66.000
43,Canarsie,1589.234,1124.581,1399.164,1289.246,0.164,34.736,0.019,0.635,51.405,47.000
44,Logan Square,1332.023,546.666,1977.079,1030.100,0.197,18.254,0.011,0.830,51.568,66.000
45,South Scottsdale,1316.230,242.500,2281.245,1148.894,0.121,59.233,0.039,0.117,221.402,76.000
46,Flushing,1903.444,911.665,1612.080,1383.851,0.302,29.438,0.017,0.866,56.476,54.000
47,Downtown,2818.536,1276.664,1247.081,1259.001,0.821,110.505,0.057,0.838,133.116,42.000
48,Ahwatukee Foothills,938.575,729.166,1794.579,726.043,0.131,11.739,0.007,0.862,27.546,60.000
49,Murray Hill,1887.426,698.749,1824.996,1432.996,0.282,25.301,0.015,0.859,61.297,61.000
50,Sheepshead Bay,1854.819,1124.581,1399.164,1547.453,0.168,25.000,0.013,0.779,36.997,47.000
51,North Raleigh,904.807,820.415,1703.330,677.363,0.136,19.740,0.011,0.725,41.973,57.000
52,Gravesend,1690.450,729.166,1794.579,1464.219,0.139,25.391,0.015,0.602,59.581,60.000
53,Sharpstown,758.318,1215.831,1307.914,684.235,0.040,26.174,0.014,0.166,34.315,44.000
54,San Pedro,1581.607,698.749,1824.996,1173.432,0.253,38.471,0.023,0.679,93.204,61.000
55,Forest Hills,2221.185,668.332,1855.413,1625.676,0.373,32.888,0.020,0.859,82.230,62.000
56,East Village,3221.015,516.249,2007.496,2737.674,0.318,24.638,0.015,0.872,71.690,67.000
57,Mira Mesa,1629.842,729.166,1794.579,1292.929,0.207,20.953,0.012,0.831,49.166,60.000
58,West Rogers Park,1148.962,577.083,1946.662,927.995,0.143,13.930,0.008,0.819,38.191,65.000
59,Eldridge - West Oaks,1290.708,1459.164,1064.581,1142.763,0.074,59.295,0.029,0.158,54.180,36.000
60,Ridgewood,1699.926,698.749,1824.996,1068.147,0.392,25.721,0.015,0.919,62.314,61.000
61,South Dorchester,1729.556,1185.415,1338.330,1502.535,0.122,45.712,0.024,0.375,62.447,45.000
62,Jackson Heights,2085.218,668.332,1855.413,1579.012,0.317,37.116,0.022,0.776,92.802,62.000
63,Southeast Colorado Springs,837.197,698.749,1824.996,766.136,0.044,14.215,0.008,0.320,34.439,61.000
64,Northwest Raleigh,998.613,668.332,1855.413,789.083,0.131,28.206,0.017,0.507,70.525,62.000
65,Kingwood Area,1107.637,1002.915,1520.830,796.272,0.177,40.569,0.022,0.561,69.887,51.000
66,Midwood,1700.484,698.749,1824.996,1341.708,0.223,22.141,0.013,0.832,53.641,61.000
67,Clear Lake,1090.000,2067.496,456.249,307.970,0.341,185.905,0.081,0.559,42.407,16.000
68,Greater Fondren Southwest,749.152,1154.998,1368.747,719.917,0.016,8.234,0.004,0.231,11.712,46.000
69,Park Slope,2762.415,577.083,1946.662,2205.052,0.359,41.427,0.025,0.765,113.580,65.000
70,Albany Park,1231.875,729.166,1794.579,1024.674,0.127,16.071,0.009,0.760,37.711,60.000
71,Westwood,3557.811,1428.747,1094.998,2157.079,0.709,162.716,0.081,0.685,156.099,37.000
72,Central Colorado Springs,824.961,1398.331,1125.414,696.019,0.066,43.891,0.022,0.198,44.157,38.000
73,Gramercy,4025.087,1854.580,669.165,4614.878,-0.269,223.299,0.102,0.251,93.912,23.000
74,Bay Ridge,1816.131,698.749,1824.996,1462.845,0.219,22.873,0.013,0.818,55.414,61.000
75,Rogers Park,1210.076,546.666,1977.079,1081.974,0.083,14.024,0.009,0.598,39.618,66.000
76,Hoover,714.491,942.082,1581.663,619.182,0.055,13.302,0.007,0.519,24.633,53.000
77,South Austin,878.583,2006.663,517.082,54.197,0.364,103.122,0.045,0.801,28.666,18.000
78,Fresno High Roeding,681.736,942.082,1581.663,699.613,-0.010,13.579,0.008,0.035,25.146,53.000
79,Kensington,2069.158,729.166,1794.579,1484.076,0.360,60.090,0.035,0.644,141.002,60.000
80,Encanto,901.311,546.666,1977.079,765.048,0.089,21.166,0.013,0.425,59.793,66.000
81,Kempsville,1063.062,577.083,1946.662,977.041,0.055,17.658,0.011,0.300,48.411,65.000
82,Bath Beach,1594.914,789.999,1733.746,1280.166,0.190,21.562,0.012,0.806,47.399,58.000
83,Little Havana,1583.750,1824.163,699.582,1149.165,0.200,146.082,0.067,0.289,66.052,24.000
84,Centennial Hills,920.417,729.166,1794.579,838.643,0.050,17.793,0.010,0.287,41.751,60.000
85,Roxbury,1814.418,881.249,1642.496,1421.521,0.231,30.699,0.017,0.770,60.979,55.000
86,Flagami,1426.887,668.332,1855.413,1216.505,0.132,17.329,0.010,0.733,43.328,62.000
87,Lone Mountain,887.421,820.415,1703.330,739.977,0.088,14.691,0.008,0.666,31.238,57.000
88,University Heights,1472.149,1124.581,1399.164,1168.173,0.167,18.102,0.010,0.868,26.789,47.000
89,Summerlin North,1057.508,698.749,1824.996,953.247,0.065,19.809,0.012,0.343,47.992,61.000
90,Bayside,1872.214,1489.581,1034.164,1360.233,0.255,59.761,0.029,0.695,51.949,35.000
91,Bedford Park,1530.439,1550.414,973.331,1143.455,0.190,41.252,0.020,0.743,32.330,33.000
92,Gresham,830.339,759.582,1764.163,666.962,0.100,21.609,0.013,0.524,49.090,59.000
93,Maspeth,1826.030,1550.414,973.331,1299.874,0.258,54.456,0.026,0.754,42.678,33.000
94,Lake Highlands,1220.065,1611.247,912.498,973.006,0.119,118.898,0.057,0.132,83.533,31.000
95,Hamilton Heights,1991.289,607.499,1916.246,1519.422,0.301,26.338,0.016,0.854,70.054,64.000
96,Woodlake - Briarmeadow,1119.422,1185.415,1338.330,709.869,0.221,65.612,0.035,0.486,89.632,45.000
97,Michael Way,721.839,759.582,1764.163,613.563,0.066,13.749,0.008,0.545,31.235,59.000
98,University City,2320.325,1945.830,577.915,1372.887,0.424,234.126,0.104,0.478,77.718,20.000
99,Chelsea,5050.217,1854.580,669.165,3485.631,0.715,455.839,0.207,0.361,191.710,23.000
100,Lake View,1736.970,546.666,1977.079,1503.118,0.152,20.614,0.013,0.697,58.234,66.000
101,Woodside,2061.170,850.832,1672.913,1835.995,0.133,36.626,0.021,0.432,75.291,56.000
102,Englewood,806.398,759.582,1764.163,748.380,0.035,12.507,0.007,0.293,28.413,59.000
103,Woodland Hills,2101.605,668.332,1855.413,1755.711,0.217,27.554,0.016,0.746,68.894,62.000
104,Oak Lawn,1957.958,729.166,1794.579,1732.052,0.139,30.543,0.018,0.510,71.670,60.000
105,Greater Uptown,1727.912,820.415,1703.330,1465.987,0.157,44.404,0.025,0.408,94.417,57.000
106,Palms,2071.284,789.999,1733.746,1240.076,0.502,42.008,0.024,0.884,92.347,58.000
107,Fordham,1422.500,1124.581,1399.164,1040.442,0.209,25.652,0.014,0.838,37.962,47.000
108,Mid City West,2935.250,729.166,1794.579,2579.512,0.219,73.477,0.043,0.309,172.416,60.000
109,Encino,2017.902,698.749,1824.996,1491.988,0.326,42.890,0.025,0.739,103.910,61.000
110,Valencia,1830.651,942.082,1581.663,1541.798,0.167,30.689,0.017,0.651,56.832,53.000
111,Sunnyside,2157.025,759.582,1764.163,1484.140,0.410,30.646,0.018,0.903,69.619,59.000
112,Memorial,1688.475,1945.830,577.915,608.952,0.483,169.348,0.076,0.694,56.215,20.000
113,Greenwich Village,3919.470,546.666,1977.079,3462.298,0.298,41.563,0.025,0.684,117.414,66.000
114,Rancho Bernardo,1694.852,698.749,1824.996,1455.679,0.148,20.358,0.012,0.722,49.322,61.000
115,Alameda - West Flagler,1658.680,698.749,1824.996,1331.250,0.203,15.195,0.009,0.897,36.812,61.000
116,Carmel Valley,2247.331,759.582,1764.163,1913.642,0.203,39.676,0.023,0.577,90.134,59.000
117,Rego Park,2137.858,729.166,1794.579,1666.253,0.290,26.750,0.016,0.856,62.770,60.000
118,Morningside Heights,2603.827,881.249,1642.496,2318.809,0.167,29.304,0.017,0.659,58.209,55.000
119,Kew Gardens Hills,2043.518,1702.497,821.248,3119.592,-0.509,170.083,0.080,0.609,100.163,28.000
120,East Boston,1800.343,1002.915,1520.830,1484.602,0.179,32.458,0.018,0.673,55.915,51.000
121,Coral Way,1963.809,485.833,2037.912,1472.487,0.327,23.538,0.015,0.884,70.519,68.000
122,Ocean Hill,1666.566,942.082,1581.663,1148.511,0.299,22.833,0.013,0.915,42.283,53.000
123,Mid Wilshire,2707.469,1580.830,942.915,1998.054,0.346,190.036,0.092,0.321,141.119,32.000
124,Greater Heights,1913.554,1702.497,821.248,1711.115,0.096,122.430,0.058,0.096,72.100,28.000
125,Ocean Parkway,1858.602,1063.748,1459.997,1190.099,0.373,56.813,0.031,0.757,90.828,49.000
126,South Shore,809.524,637.916,1885.829,688.567,0.077,13.038,0.008,0.613,33.630,63.000
127,Jamaica Plain,2016.135,637.916,1885.829,1577.561,0.277,51.710,0.031,0.570,133.378,63.000
128,Inwood,1813.352,698.749,1824.996,1444.778,0.229,27.151,0.016,0.776,65.778,61.000
129,Norwood,1537.438,1824.163,699.582,1154.422,0.176,63.385,0.029,0.626,28.660,24.000
130,North,854.797,759.582,1764.163,606.906,0.151,11.696,0.007,0.897,26.570,59.000
131,Brighton,1857.697,546.666,1977.079,1515.415,0.223,11.397,0.007,0.942,32.196,66.000
132,Dyker Heights,1669.683,729.166,1794.579,1382.353,0.177,30.485,0.018,0.629,71.533,60.000
133,Gulfton,817.326,1246.248,1277.497,787.008,0.016,33.878,0.018,0.020,42.592,43.000
134,Morris Park,1646.750,1337.498,1186.247,1332.430,0.163,34.437,0.018,0.694,37.984,40.000
135,North Park,1507.537,911.665,1612.080,915.344,0.345,31.036,0.017,0.883,59.542,54.000
136,Bayside,1194.931,789.999,1733.746,1194.784,0.000,26.695,0.015,0.000,58.685,58.000
137,Humboldt Park,1237.478,1185.415,1338.330,723.436,0.277,43.773,0.023,0.770,59.798,45.000
138,Lake View East,1821.197,546.666,1977.079,1714.615,0.069,26.300,0.016,0.227,74.298,66.000
139,North Center,1637.000,1246.248,1277.497,1475.644,0.086,59.945,0.031,0.155,75.365,43.000
140,South Loop,2340.833,455.416,2068.329,2082.565,0.173,20.781,0.013,0.729,64.082,69.000
141,South Boston,2758.623,820.415,1703.330,2508.704,0.149,57.095,0.033,0.275,121.402,57.000
142,Studio City,2355.656,698.749,1824.996,1732.880,0.387,70.272,0.041,0.596,170.248,61.000
143,Del Rey,3092.607,850.832,1672.913,2316.415,0.460,44.502,0.025,0.859,91.481,56.000
144,Fort Greene,3386.792,729.166,1794.579,2302.016,0.667,58.554,0.034,0.867,137.398,60.000
145,Columbia Heights,2804.000,1611.247,912.498,2695.929,0.052,177.602,0.085,0.013,124.775,31.000
146,Greenwood,2153.205,698.749,1824.996,1602.071,0.342,41.633,0.025,0.767,100.866,61.000
147,Venice,4342.471,1519.997,1003.748,2499.437,0.912,254.814,0.125,0.626,210.463,34.000
148,Greenpoint,2723.845,881.249,1642.496,2063.399,0.388,68.561,0.039,0.654,136.188,55.000
149,Kingsbridge,1641.182,1550.414,973.331,1328.658,0.153,56.341,0.027,0.503,44.155,33.000
150,Roslindale,1710.690,1033.332,1490.413,1341.591,0.208,44.731,0.024,0.601,74.255,50.000
151,Sawtelle,2394.167,729.166,1794.579,1550.124,0.519,41.815,0.024,0.886,98.120,60.000
152,West Raleigh,835.400,577.083,1946.662,604.180,0.149,14.290,0.009,0.825,39.179,65.000
153,Glendale,1668.990,1033.332,1490.413,1163.886,0.284,31.861,0.017,0.847,52.891,50.000
154,Prospect Lefferts Gardens,1927.593,759.582,1764.163,1341.339,0.357,35.563,0.021,0.840,80.790,59.000
155,Berclair-Highland Heights,582.812,1337.498,1186.247,507.178,0.039,22.882,0.012,0.229,25.238,40.000
156,Downtown,3133.924,1550.414,973.331,1873.800,0.619,157.515,0.077,0.678,123.448,33.000
157,Brentwood,3315.346,1367.914,1155.831,2386.914,0.477,135.349,0.069,0.567,142.650,39.000
158,Bronzeville,1203.225,729.166,1794.579,1086.125,0.072,22.545,0.013,0.339,52.903,60.000
159,Capitol Hill,2473.273,1550.414,973.331,1273.395,0.589,171.488,0.083,0.617,134.399,33.000
160,M Streets,1604.609,607.499,1916.246,1181.795,0.270,27.116,0.016,0.816,72.122,64.000
161,Homecrest,1818.773,1550.414,973.331,1472.561,0.170,44.251,0.022,0.668,34.680,33.000
162,West Roxbury,1884.708,729.166,1794.579,1852.018,0.020,36.086,0.021,0.015,84.676,60.000
163,Fort Hamilton,1990.172,698.749,1824.996,1572.523,0.259,30.990,0.018,0.774,75.079,61.000
164,South End,2907.615,577.083,1946.662,2420.730,0.314,41.049,0.025,0.717,112.542,65.000
165,Downtown,2867.402,850.832,1672.913,2383.352,0.287,68.565,0.039,0.500,140.946,56.000
166,Clinton,4362.522,1854.580,669.165,5360.502,-0.456,430.653,0.196,0.205,181.117,23.000
167,Neartown - Montrose,1869.653,759.582,1764.163,1545.383,0.198,37.550,0.022,0.590,85.302,59.000
168,Alexandria West,1833.596,972.498,1551.247,2038.205,-0.117,41.001,0.023,0.347,73.253,52.000
169,The Lakes,969.377,942.082,1581.663,712.429,0.148,22.912,0.013,0.726,42.430,53.000
170,Financial District,4446.652,546.666,1977.079,3238.949,0.787,63.543,0.039,0.866,179.507,66.000
171,Briarwood,1826.848,1550.414,973.331,1380.301,0.219,124.980,0.061,0.296,97.949,33.000
172,La Jolla,3706.257,485.833,2037.912,3631.981,0.049,61.550,0.038,0.025,184.402,68.000
173,Brighton Beach,1908.430,820.415,1703.330,1153.606,0.451,55.525,0.032,0.785,118.062,57.000
174,Flatiron District,5909.417,2189.162,334.583,11085.455,-2.197,662.736,0.281,0.859,93.291,12.000
175,North Dorchester,1984.516,1611.247,912.498,1323.633,0.320,95.573,0.046,0.627,67.146,31.000
176,Pacific Beach,1968.958,1459.164,1064.581,1679.366,0.145,130.530,0.065,0.129,119.271,36.000
177,South Chicago,836.456,1185.415,1338.330,585.954,0.135,25.623,0.014,0.699,35.003,45.000
178,Ravenswood,1466.615,577.083,1946.662,1234.661,0.150,21.547,0.013,0.676,59.075,65.000
179,Washington Avenue Coalition - Memorial Park,2022.364,759.582,1764.163,1707.541,0.192,53.749,0.031,0.398,122.102,59.000
180,Landmark-Van Dom,1813.153,759.582,1764.163,1760.297,0.032,20.761,0.012,0.111,47.163,59.000
181,West End,1113.208,2189.162,334.583,314.509,0.339,286.007,0.121,0.439,40.260,12.000
182,Woodbridge,1980.095,1276.664,1247.081,1847.714,0.070,58.886,0.030,0.116,70.936,42.000
183,Highland,1473.353,2037.079,486.666,863.649,0.267,178.719,0.078,0.438,45.133,17.000
184,Capitol,1549.375,2189.162,334.583,2464.283,-0.388,1296.165,0.550,0.048,182.456,12.000
185,University District,2172.393,2128.329,395.416,1023.707,0.494,513.044,0.220,0.295,93.554,14.000
186,Allston,1857.250,607.499,1916.246,1515.588,0.218,11.997,0.007,0.937,31.910,64.000
187,Clinton Hill,2805.383,729.166,1794.579,2332.841,0.291,42.245,0.025,0.704,99.128,60.000
188,Valley Village,2469.068,1884.996,638.749,2114.337,0.161,175.116,0.079,0.171,68.295,22.000
189,Flamingo Lummus,2576.538,577.083,1946.662,2412.466,0.106,32.653,0.020,0.313,89.523,65.000
190,Edgewater Beach,1568.938,1094.165,1429.580,1366.636,0.112,49.314,0.027,0.278,75.878,48.000
191,Great Neck,1074.430,1033.332,1490.413,993.100,0.046,21.134,0.012,0.247,35.084,50.000
192,Fenway,2764.562,577.083,1946.662,2453.233,0.201,28.953,0.018,0.676,79.379,65.000
193,Pico-Robertson,2376.900,1337.498,1186.247,1404.298,0.504,121.342,0.062,0.636,133.839,40.000
194,South,2252.644,759.582,1764.163,1690.674,0.342,58.632,0.034,0.639,133.197,59.000
195,Greenbrier East,1285.583,1641.664,882.081,1255.765,0.014,34.768,0.017,0.026,23.072,30.000
