idx,Name,mean_price_2Bedroom,min_t_2Bedroom,t_range_2Bedroom,intercept_2Bedroom,price_trend_2Bedroom,intercept_err_2Bedroom,price_trend_err_2Bedroom,rsquared_2Bedroom,std_err_2Bedroom,nobs_2Bedroom
196,West Village,4375.220,546.666,1977.079,4087.713,0.187,55.012,0.034,0.328,155.409,66.000
197,Kew Gardens,1959.033,729.166,1794.579,1476.627,0.297,40.198,0.024,0.733,94.326,60.000
198,Brickell,2609.279,425.000,2098.745,2298.251,0.211,16.873,0.011,0.854,53.534,70.000
199,North Central,1192.500,1580.830,942.915,1043.234,0.073,30.016,0.014,0.456,22.290,32.000
200,West Park,2110.744,1367.914,1155.831,1702.782,0.210,29.451,0.015,0.842,31.040,39.000
201,Northwood,2043.333,1550.414,973.331,2309.870,-0.131,139.268,0.068,0.108,109.147,33.000
202,Potomac West,2200.944,1185.415,1338.330,2622.748,-0.227,163.324,0.086,0.140,223.116,45.000
203,Brooklyn Heights,3984.783,729.166,1794.579,3149.362,0.514,92.728,0.054,0.607,217.587,60.000
204,Waikiki,2998.859,1580.830,942.915,2513.572,0.236,272.710,0.132,0.097,202.513,32.000
205,Northampton,964.154,2158.746,364.999,1235.673,-0.116,234.737,0.100,0.109,37.800,13.000
206,Seminary Hill,1710.571,2128.329,395.416,1655.276,0.024,330.042,0.142,0.002,60.184,14.000
207,Back Bay,3899.681,789.999,1733.746,3831.027,0.041,61.909,0.036,0.023,136.096,58.000
208,Near North,2681.000,789.999,1733.746,2244.748,0.263,58.242,0.034,0.523,128.035,58.000
209,Columbus Circle,4809.152,1854.580,669.165,5213.891,-0.185,144.241,0.066,0.274,60.663,23.000
210,Braeswood Place,1716.537,1337.498,1186.247,1603.493,0.059,78.382,0.040,0.054,86.455,40.000
211,Uptown,1467.788,546.666,1977.079,1320.516,0.096,13.429,0.008,0.682,37.936,66.000
212,Sutton Place,4689.239,1854.580,669.165,6290.666,-0.732,388.942,0.177,0.449,163.575,23.000
213,Greenway - Upper Kirby Area,1976.095,1276.664,1247.081,1815.679,0.084,71.786,0.037,0.115,86.475,42.000
214,Lower Peters Canyon,2168.125,1580.830,942.915,1586.087,0.284,76.391,0.037,0.663,56.728,32.000
215,West Central,2485.062,2067.496,456.249,326.324,0.940,464.072,0.202,0.608,105.860,16.000
216,North San Jose,2993.955,1550.414,973.331,1741.139,0.615,139.777,0.068,0.726,109.546,33.000
217,Wingate,2170.214,2128.329,395.416,1523.138,0.278,654.059,0.281,0.076,119.268,14.000
218,Greenbrier West,1200.509,911.665,1612.080,1129.006,0.042,19.399,0.011,0.219,37.216,54.000
219,Bucktown,1909.769,577.083,1946.662,1807.356,0.066,33.960,0.021,0.141,93.108,65.000
220,Gowanus,3019.606,972.498,1551.247,2125.212,0.512,100.898,0.056,0.627,180.267,52.000
221,Streeterville,2818.772,485.833,2037.912,2180.036,0.424,37.608,0.023,0.835,112.673,68.000
222,Prospect Heights,2828.667,729.166,1794.579,2102.687,0.446,80.785,0.047,0.606,189.563,60.000
223,South of Market,4499.240,972.498,1551.247,3210.641,0.737,85.332,0.047,0.830,152.455,52.000
224,Downtown,2389.613,942.082,1581.663,2118.424,0.156,38.724,0.022,0.508,71.712,53.000
225,Turtle Bay,3835.273,607.499,1916.246,2766.335,0.683,90.084,0.054,0.719,239.604,64.000
226,Midtown,5406.935,1854.580,669.165,5712.001,-0.139,228.439,0.104,0.079,96.073,23.000
227,Astrodome Area,1435.580,1793.747,729.998,923.185,0.237,86.500,0.040,0.607,41.933,25.000
228,Vance Jackson,873.000,881.249,1642.496,819.963,0.031,17.676,0.010,0.155,35.111,55.000
229,Charlestown,2973.944,668.332,1855.413,3036.528,-0.039,45.711,0.027,0.034,114.291,62.000
230,Beach Haven,1022.231,972.498,1551.247,789.830,0.133,14.837,0.008,0.840,26.507,52.000
231,Metro West,1055.053,1124.581,1399.164,745.620,0.170,25.799,0.014,0.771,38.180,47.000
232,Bluffview,2019.292,2189.162,334.583,912.327,0.470,920.710,0.390,0.127,129.605,12.000
233,Adams Morgan,3020.719,1580.830,942.915,3529.645,-0.248,224.117,0.108,0.149,166.428,32.000
234,University Place,2131.267,2097.913,425.832,1347.663,0.339,396.924,0.171,0.231,81.256,15.000
235,Hollywood Lakes,1718.920,1793.747,729.998,1509.469,0.097,227.856,0.105,0.036,110.460,25.000
236,Seatack,1219.042,759.582,1764.163,1175.588,0.026,12.308,0.007,0.194,27.961,59.000
237,Tribeca,6053.370,1854.580,669.165,5647.457,0.185,376.453,0.171,0.053,158.323,23.000
238,Logan Circle,3466.528,911.665,1612.080,3437.194,0.017,62.389,0.035,0.005,119.691,54.000
239,Kenmore,2785.981,942.082,1581.663,2763.834,0.013,97.452,0.054,0.001,180.468,53.000
240,Park Manor,859.239,1154.998,1368.747,804.137,0.030,31.628,0.017,0.067,44.986,46.000
241,Ala Moana-Kakaako,3285.233,1246.248,1277.497,2844.770,0.234,96.795,0.050,0.344,121.694,43.000
242,Spuyten Duyvil,2420.240,972.498,1551.247,1861.087,0.320,75.352,0.042,0.541,134.625,52.000
243,Wynwood - Edgewater,2448.614,546.666,1977.079,1811.887,0.415,27.002,0.016,0.908,76.281,66.000
244,University Village - Little Italy,1893.423,577.083,1946.662,1628.142,0.171,32.221,0.020,0.550,88.340,65.000
245,Gold Coast,2566.839,759.582,1764.163,2218.979,0.212,53.005,0.031,0.454,120.413,59.000
246,Squirrel Hill South,1266.429,2128.329,395.416,482.374,0.337,301.952,0.130,0.360,55.061,14.000
247,Villages of Palm Beach Lakes,1139.766,668.332,1855.413,854.078,0.179,16.808,0.010,0.843,42.026,62.000
248,Tudor City,4625.783,1854.580,669.165,4343.653,0.129,358.242,0.163,0.029,150.664,23.000
249,Capitol Hill,1723.412,2037.079,486.666,1168.835,0.243,182.492,0.080,0.382,46.086,17.000
250,Battery Park,5631.823,577.083,1946.662,4178.308,0.938,84.256,0.051,0.843,231.002,65.000
251,West University,1573.203,1580.830,942.915,988.723,0.285,48.952,0.024,0.829,36.351,32.000
252,Playa Del Rey,2940.733,2097.913,425.832,1717.574,0.529,442.769,0.191,0.371,90.641,15.000
253,Irving Park,1343.312,1337.498,1186.247,1164.074,0.093,43.469,0.022,0.316,47.946,40.000
254,Dupont Circle,3568.657,911.665,1612.080,3662.907,-0.055,70.165,0.039,0.036,134.609,54.000
255,Near West Side,2694.000,2097.913,425.832,2827.223,-0.058,381.439,0.165,0.009,78.086,15.000
256,The Fan,1271.412,2037.079,486.666,1026.464,0.107,89.204,0.039,0.335,22.527,17.000
257,Mission Hill,2188.774,942.082,1581.663,1909.917,0.161,73.162,0.041,0.234,135.486,53.000
258,Hillcrest,2186.742,1611.247,912.498,1536.480,0.315,198.015,0.095,0.274,139.117,31.000
259,Hampden South,1663.188,2067.496,456.249,2743.001,-0.470,299.981,0.130,0.482,68.429,16.000
260,Shadyside,1623.089,1702.497,821.248,1251.000,0.176,240.918,0.113,0.085,141.878,28.000
261,Lincoln Park,2072.500,2128.329,395.416,1293.488,0.335,391.848,0.168,0.248,71.454,14.000
262,North Shore,2672.742,668.332,1855.413,2477.570,0.122,73.713,0.044,0.115,184.307,62.000
263,City Center,3059.571,2128.329,395.416,3306.637,-0.106,163.721,0.070,0.160,29.855,14.000
264,Riverside,1476.737,1976.246,547.499,2083.507,-0.270,218.497,0.097,0.313,66.523,19.000
265,Riverdale,2279.540,1033.332,1490.413,2302.033,-0.013,44.278,0.024,0.006,73.503,50.000
266,Windsor,1589.643,2128.329,395.416,2118.228,-0.227,153.483,0.066,0.498,27.988,14.000
267,Five Points,1977.191,881.249,1642.496,1281.234,0.409,55.148,0.031,0.765,109.546,55.000
268,North Cambridge,2662.570,1033.332,1490.413,2359.640,0.170,83.438,0.046,0.226,138.511,50.000
269,Carroll Gardens,3273.397,1367.914,1155.831,2656.495,0.317,187.086,0.095,0.233,197.179,39.000
270,Riverside,2547.217,942.082,1581.663,2225.201,0.186,59.674,0.033,0.380,110.508,53.000
271,Mid-Cambridge,2536.490,972.498,1551.247,2414.625,0.070,39.361,0.022,0.170,70.322,52.000
272,Downtown,2623.790,455.416,2068.329,2252.885,0.249,20.180,0.013,0.855,62.227,69.000
273,Wicker Park,2024.883,607.499,1916.246,1758.390,0.170,36.559,0.022,0.492,97.240,64.000
274,Boerum Hill,3401.265,1002.915,1520.830,2738.630,0.376,114.145,0.063,0.423,196.636,51.000
275,Windy Hill,1132.192,729.166,1794.579,1056.517,0.047,21.203,0.012,0.195,49.753,60.000
276,Ballston-Virginia Square,2829.430,820.415,1703.330,3207.782,-0.226,59.520,0.034,0.445,126.558,57.000
277,Cambridgeport,3138.905,637.916,1885.829,3155.690,-0.011,52.300,0.031,0.002,134.899,63.000
278,Downtown,2236.658,729.166,1794.579,1783.385,0.279,54.652,0.032,0.567,128.243,60.000
279,South Beach,5042.068,759.582,1764.163,3051.521,1.213,139.822,0.081,0.796,317.637,59.000
280,Thalia,1184.633,2097.913,425.832,1314.194,-0.056,158.641,0.069,0.049,32.476,15.000
281,Near East,2195.882,1519.997,1003.748,1146.478,0.519,134.483,0.066,0.660,111.076,34.000
282,Speer,1723.958,2189.162,334.583,2336.832,-0.260,755.773,0.320,0.062,106.387,12.000
283,Edgewater,1384.902,1002.915,1520.830,1184.503,0.114,27.849,0.015,0.529,47.975,51.000
284,First Hill,2950.038,2158.746,364.999,2684.018,0.114,1016.357,0.434,0.006,163.666,13.000
285,Buena Park,1622.054,577.083,1946.662,1351.759,0.174,29.440,0.018,0.603,80.714,65.000
286,Van Ness - Civic Center,4671.750,1945.830,577.915,4648.824,0.010,90.058,0.040,0.004,29.895,20.000
287,Old Town,2617.058,729.166,1794.579,2240.356,0.232,94.493,0.055,0.232,221.728,60.000
288,Hunters Point,3775.000,972.498,1551.247,3450.856,0.185,66.875,0.037,0.334,119.481,52.000
289,Peabody,2632.830,942.082,1581.663,2292.623,0.196,53.468,0.030,0.460,99.016,53.000
290,North-East Coconut Grove,2447.377,577.083,1946.662,2335.163,0.072,44.358,0.027,0.103,121.616,65.000
291,Sheffield Neighbors,1890.500,546.666,1977.079,1676.512,0.139,46.561,0.028,0.274,131.535,66.000
292,Aurora Highlands,2689.972,911.665,1612.080,3200.037,-0.297,101.309,0.057,0.344,194.356,54.000
293,Shaw,3762.500,2128.329,395.416,5781.545,-0.868,838.671,0.360,0.326,152.933,14.000
294,The Waterfront,3413.060,789.999,1733.746,2935.370,0.288,35.434,0.020,0.780,77.896,58.000
295,Old Fourth Ward,1532.115,972.498,1551.247,758.092,0.443,51.426,0.028,0.829,91.879,52.000
296,Palm Aire,1212.846,577.083,1946.662,1099.383,0.073,16.034,0.010,0.474,43.959,65.000
297,Fairlington-Shirlington,2250.518,820.415,1703.330,2366.511,-0.069,42.009,0.024,0.131,89.323,57.000
298,Wrightwood Neighbors,2012.333,1641.664,882.081,1949.649,0.030,199.049,0.095,0.004,132.089,30.000
299,The Loop,2738.364,881.249,1642.496,2453.150,0.168,73.869,0.042,0.233,146.733,55.000
300,Oceanfront,2891.714,425.000,2098.745,2619.155,0.185,52.098,0.033,0.321,165.293,70.000
301,Mission Valley East,2166.273,1884.996,638.749,1509.886,0.298,113.676,0.051,0.627,44.334,22.000
302,East Cambridge,3312.711,607.499,1916.246,3315.583,-0.002,64.114,0.039,0.000,170.530,64.000
303,North End,2694.250,729.166,1794.579,2609.279,0.052,40.738,0.024,0.077,95.592,60.000
304,Radnor-Ft Myer Heights,3004.519,972.498,1551.247,2943.609,0.035,74.378,0.041,0.014,132.885,52.000
305,Oak Creek,2227.015,1550.414,973.331,1921.251,0.150,32.218,0.016,0.748,25.250,33.000
306,Downtown,4061.620,911.665,1612.080,3344.752,0.417,59.252,0.033,0.752,113.672,54.000
307,Upper Eastside,1895.662,577.083,1946.662,1298.571,0.385,40.600,0.025,0.796,111.312,65.000
308,Beacon Hill,2801.724,1063.748,1459.997,2779.974,0.012,69.619,0.038,0.002,111.301,49.000
309,West Cambridge,2654.342,1398.331,1125.414,2382.561,0.139,87.975,0.044,0.214,88.509,38.000
310,Ballantyne West,1419.964,2128.329,395.416,910.791,0.219,167.251,0.072,0.436,30.498,14.000
311,Chinatown,4089.600,1945.830,577.915,2979.445,0.497,1032.356,0.461,0.061,342.691,20.000
312,Woodbury,2227.531,1580.830,942.915,1965.147,0.128,128.132,0.062,0.125,95.150,32.000
313,Little Italy,3928.918,881.249,1642.496,3824.062,0.062,65.632,0.037,0.049,130.370,55.000
314,Belltown,2329.821,942.082,1581.663,1532.742,0.460,65.226,0.036,0.758,120.791,53.000
315,Highland,2269.375,2067.496,456.249,3753.300,-0.646,344.909,0.150,0.570,78.677,16.000
316,River North,2998.261,516.249,2007.496,2414.745,0.384,50.954,0.031,0.699,148.263,67.000
317,Barton Hills,1672.567,2097.913,425.832,705.544,0.418,167.145,0.072,0.721,34.217,15.000
318,Midtown,2044.500,1124.581,1399.164,1907.446,0.075,74.678,0.040,0.073,110.515,47.000
319,Windsor Terrace,2623.981,972.498,1551.247,1790.620,0.477,101.268,0.056,0.591,180.926,52.000
320,East Village,2769.467,1185.415,1338.330,2194.456,0.310,94.918,0.050,0.472,129.666,45.000
321,Clarendon-Courthouse,2935.394,972.498,1551.247,3292.162,-0.204,46.211,0.026,0.560,82.561,52.000
322,Old City,2171.160,942.082,1581.663,2167.283,0.002,56.721,0.032,0.000,105.040,53.000
323,South Lamar,1425.861,1459.164,1064.581,901.878,0.263,59.677,0.030,0.699,54.529,36.000
324,Noble Square,1770.143,1489.581,1034.164,1581.927,0.094,133.651,0.066,0.058,116.181,35.000
325,North Buckhead,2534.559,2037.079,486.666,3393.161,-0.377,433.238,0.190,0.208,109.408,17.000
326,Deerwood,1159.038,2158.746,364.999,637.782,0.223,314.757,0.134,0.200,50.686,13.000
327,Grantville,2291.711,1976.246,547.499,1531.869,0.338,107.416,0.048,0.747,32.704,19.000
328,Cobble Hill,3835.395,1976.246,547.499,3072.309,0.339,722.723,0.320,0.062,220.038,19.000
329,East Ukrainian Village,2212.917,1641.664,882.081,2649.154,-0.209,192.482,0.092,0.157,127.732,30.000
330,Old Town Triangle,2370.357,2128.329,395.416,3191.387,-0.353,331.150,0.142,0.339,60.386,14.000
331,Isle of Normandy,1797.773,881.249,1642.496,1737.923,0.035,72.612,0.041,0.014,144.235,55.000
332,Wellington-Harrington,2241.125,1337.498,1186.247,1794.971,0.231,56.485,0.029,0.629,62.303,40.000
333,Mount Vernon Square,3368.268,1702.497,821.248,2930.414,0.207,200.466,0.094,0.157,118.056,28.000
334,South Central Beach,2455.111,637.916,1885.829,2222.616,0.147,42.015,0.025,0.360,108.371,63.000
335,The Port - Area 4,2429.013,1398.331,1125.414,2148.572,0.143,111.414,0.056,0.153,112.090,38.000
336,Ukrainian Village,1574.773,1550.414,973.331,1307.397,0.131,62.727,0.030,0.374,49.161,33.000
337,Downtown,2913.739,1215.831,1307.914,2854.031,0.032,99.147,0.052,0.009,129.987,44.000
338,Victoria Park,2047.188,1824.163,699.582,934.685,0.512,216.509,0.099,0.548,97.896,24.000
339,Core-Columbia,2611.431,1002.915,1520.830,2555.846,0.032,87.148,0.048,0.009,150.128,51.000
340,West End,3846.479,1094.165,1429.580,3915.949,-0.038,65.643,0.035,0.025,101.002,48.000
341,North Capitol Hill,2014.882,2037.079,486.666,3411.064,-0.612,485.115,0.212,0.357,122.509,17.000
342,South Semoran,827.281,820.415,1703.330,673.585,0.092,10.094,0.006,0.821,21.462,57.000
343,Cherry Creek,2978.190,1915.413,608.332,3311.922,-0.150,413.269,0.186,0.033,148.969,21.000
344,Secret Cove,1132.688,2067.496,456.249,790.619,0.149,112.743,0.049,0.398,25.718,16.000
345,Business District,2500.794,1002.915,1520.830,1844.158,0.372,50.532,0.028,0.786,87.051,51.000
346,Pearl District,2957.654,2158.746,364.999,-155.085,1.330,1286.181,0.549,0.348,207.116,13.000
347,Zilker,2239.679,1276.664,1247.081,1471.826,0.404,101.643,0.053,0.597,122.442,42.000
348,Beach,2068.779,1246.248,1277.497,1796.959,0.144,107.670,0.056,0.139,135.366,43.000
349,Lindbergh,1774.538,2158.746,364.999,607.473,0.498,330.279,0.141,0.532,53.185,13.000
350,Southside Slopes,1259.438,2067.496,456.249,1112.377,0.064,371.015,0.161,0.011,84.632,16.000
351,New Eastside,2866.492,577.083,1946.662,2614.471,0.163,41.669,0.025,0.397,114.243,65.000
352,Binz,2278.022,1854.580,669.165,3318.922,-0.475,235.434,0.107,0.484,99.015,23.000
353,Southmoor Park,1602.152,1854.580,669.165,1112.994,0.223,94.442,0.043,0.563,39.719,23.000
354,Union Station,2885.688,1580.830,942.915,2625.492,0.127,189.022,0.091,0.060,140.367,32.000
355,Elizabeth,1589.708,2189.162,334.583,1471.197,0.050,322.896,0.137,0.013,45.453,12.000
356,Rancho San Joaquin,2051.875,2189.162,334.583,3100.871,-0.445,437.423,0.185,0.366,61.574,12.000
357,Downtown West,1386.522,1854.580,669.165,1179.920,0.094,126.193,0.057,0.114,53.072,23.000
358,North Loop,2268.757,1489.581,1034.164,2042.094,0.113,92.257,0.045,0.158,80.198,35.000
359,South Pointe,4723.611,2006.663,517.082,6466.301,-0.769,822.189,0.362,0.220,228.557,18.000
360,Fulton River District,2671.815,577.083,1946.662,2405.935,0.171,39.699,0.024,0.447,108.842,65.000
361,Goose Island,3164.857,2128.329,395.416,1773.392,0.598,495.523,0.213,0.397,90.359,14.000
362,Yerba Buena,4866.458,2189.162,334.583,6683.950,-0.771,611.186,0.259,0.470,86.034,12.000
363,Downtown,2319.167,1185.415,1338.330,1956.484,0.196,77.800,0.041,0.346,106.282,45.000
364,Irvine Health and Science Complex,2502.742,1611.247,912.498,1933.951,0.275,97.443,0.047,0.544,68.459,31.000
365,Eisenhower East,2443.120,1793.747,729.998,2676.238,-0.108,151.888,0.070,0.094,73.632,25.000
366,Columbia Street Waterfront District,3111.111,2006.663,517.082,3026.570,0.037,537.696,0.237,0.002,149.472,18.000
367,Wrigleyville,1856.161,1702.497,821.248,1718.936,0.065,106.976,0.050,0.060,62.999,28.000
368,Central Business District,1843.426,1124.581,1399.164,1395.798,0.245,65.845,0.035,0.519,97.444,47.000
369,Downtown,2470.448,789.999,1733.746,2344.611,0.076,53.396,0.031,0.098,117.382,58.000
370,Downtown,4073.492,637.916,1885.829,3553.610,0.329,66.770,0.040,0.527,172.223,63.000
371,Potomac Yard-Potomac Greens,2613.250,2189.162,334.583,2665.530,-0.022,211.720,0.090,0.006,29.803,12.000
372,Downtown,2166.458,2189.162,334.583,2440.728,-0.116,299.303,0.127,0.078,42.132,12.000
373,Central Park,4246.212,546.666,1977.079,3132.317,0.726,45.665,0.028,0.914,129.003,66.000
374,DUMBO,4947.875,729.166,1794.579,3780.705,0.718,73.516,0.043,0.828,172.506,60.000
375,The Strip,2443.875,2189.162,334.583,2483.018,-0.017,688.054,0.292,0.000,96.855,12.000
376,Central Beach Alliance,2334.111,2006.663,517.082,1422.763,0.402,514.280,0.226,0.165,142.963,18.000
377,Spectrum,2299.048,1915.413,608.332,1353.010,0.426,190.083,0.085,0.568,68.518,21.000
378,River West,2595.444,1185.415,1338.330,2679.521,-0.045,109.071,0.058,0.014,149.000,45.000
379,Downtown,2237.062,2067.496,456.249,2348.718,-0.049,374.148,0.163,0.006,85.347,16.000
380,Roscoe Village,1660.291,1246.248,1277.497,1445.838,0.114,57.946,0.030,0.258,72.852,43.000
381,Old Town Manchester,1140.500,2189.162,334.583,809.751,0.140,461.773,0.196,0.049,65.002,12.000
382,Cambridge Highlands,3174.531,2067.496,456.249,1097.980,0.905,476.129,0.207,0.577,108.610,16.000
383,Singer Island,3037.621,668.332,1855.413,2037.974,0.626,118.006,0.070,0.572,295.052,62.000
384,Alafaya,1130.312,850.832,1672.913,951.294,0.106,21.663,0.012,0.578,44.533,56.000
385,Spruce Hill,1409.559,2037.079,486.666,792.597,0.271,153.359,0.067,0.520,38.729,17.000
386,Near Eastside,616.176,1002.915,1520.830,529.690,0.049,13.353,0.007,0.477,23.003,51.000
387,Logan Square,2370.925,942.082,1581.663,1912.394,0.265,57.330,0.032,0.574,106.167,53.000
388,Rittenhouse,2412.675,1337.498,1186.247,2626.392,-0.111,102.421,0.052,0.106,112.970,40.000
389,Graduate Hospital,1864.886,1884.996,638.749,2314.720,-0.204,267.401,0.121,0.125,104.287,22.000
